symbol,date,3m_mom,6m_mom,12m_mom,name,weight
MU,2026-01-16,0.7918162724570734,2.174436774843668,2.5268808909158857,"""Micron Technology, Inc.""",2.0559
NFLX,2026-01-16,-0.25649930180395186,-0.2722702079042125,0.03741781689362411,"""Netflix, Inc.""",2.0678
NVDA,2026-01-16,0.02436808386329936,0.08027875525456452,0.3672997330102088,NVIDIA Corporation,8.8366
NXPI,2026-01-16,0.09548313906357286,0.059171596019856,0.13113460307574476,NXP Semiconductors NV,0.3251
ODFL,2026-01-16,0.27442683220615804,0.08783837611030387,-0.05322631730930483,"""Old Dominion Freight Line, Inc.""",0.1939
ORLY,2026-01-16,-0.06395177758033332,0.025557729087576142,0.17977804902204753,"""O\'Reilly Automotive, Inc.""",0.4316
PANW,2026-01-16,-0.08685704501896074,-0.04147510045876146,0.07732935892939152,"""Palo Alto Networks, Inc.""",0.7187
PAYX,2026-01-16,-0.11254182858738071,-0.21158466311313306,-0.2051953983468161,"""Paychex, Inc.""",0.2132
PCAR,2026-01-16,0.2959052975305867,0.32070835322877356,0.13597526104674662,PACCAR Inc,0.3389
PDD,2026-01-16,-0.16168038150447817,-0.020550439117151487,0.06017880210168225,PDD Holdings Inc. Sponsored ADR Class A,0.4053
PEP,2026-01-16,-0.03221880841910252,0.041584056463397356,0.05102346031573801,"""PepsiCo, Inc.""",1.06
PLTR,2026-01-16,-0.040197555578247446,0.11360084650893087,1.5089522783271225,Palantir Technologies Inc. Class A,2.2087
PYPL,2026-01-16,-0.1366917519388784,-0.23120512768697754,-0.36388312939684075,"""PayPal Holdings, Inc.""",0.2859
QCOM,2026-01-16,-0.023436224263986616,0.04099774378644527,-0.008645524664283033,QUALCOMM Incorporated,0.9564
REGN,2026-01-16,0.28952519346968164,0.35492438733189546,0.047873254221048045,"""Regeneron Pharmaceuticals, Inc.""",0.4235
ROP,2026-01-16,-0.16614845776849219,-0.23331005238718905,-0.19126806870600888,"""Roper Technologies, Inc.""",0.248
ROST,2026-01-16,0.24217635635770574,0.4877231760897558,0.30524470753066857,"""Ross Stores, Inc.""",0.3395
SBUX,2026-01-16,0.11052641553477871,0.005115055979709737,0.02555657068350481,Starbucks Corporation,0.5564
SHOP,2026-01-16,-0.00485412103258831,0.22617453319266967,0.49472372171592593,"""Shopify, Inc. Class A""",1.106
SNPS,2026-01-16,0.1728986443457139,-0.1170565891372537,0.017981417364868246,"""Synopsys, Inc.""",0.5136
STX,2026-01-16,0.4470906011983884,1.2010924845922157,2.5251277643459176,Seagate Technology Holdings PLC,0.3674
TEAM,2026-01-16,-0.2103510344631322,-0.3916144787004582,-0.5258568826518986,Atlassian Corp Class A,0.1252
TMUS,2026-01-16,-0.17313710735980126,-0.17299839139716144,-0.11658763054489107,"""T-Mobile US, Inc.""",1.1462
TRI,2026-01-16,-0.2034250439216253,-0.40278822898798516,-0.20216049897764166,Thomson Reuters Corporation,0.3041
TSLA,2026-01-16,0.020408163265306145,0.3271651997584515,0.021671100725895398,"""Tesla, Inc.""",3.8716
TTWO,2026-01-16,-0.07364120968882149,0.038757708269474556,0.32439879599306165,"""Take-Two Interactive Software, Inc.""",0.2471
TXN,2026-01-16,0.10149312419265799,-0.10125060827459609,0.0014684560719859796,Texas Instruments Incorporated,0.9255
VRSK,2026-01-16,-0.03576473679298897,-0.26714993026534695,-0.18954743940397412,"""Verisk Analytics, Inc.""",0.1672
VRTX,2026-01-16,0.08014977894341557,-0.04012529589394187,0.04030541458617343,Vertex Pharmaceuticals Incorporated,0.6233
VSNT,2026-01-16,,,,"""Versant Media Group, Inc. Class A""",0.0268
WBD,2026-01-16,0.5626024326462984,1.2415686214671413,1.9193054172695319,"""Warner Bros. Discovery, Inc. Series A""",0.3864
WDAY,2026-01-16,-0.17899826186575274,-0.1982322038625568,-0.24826006716641635,"""Workday, Inc. Class A""",0.2296
WDC,2026-01-16,0.760547211303688,2.263914301581271,3.551785615601057,Western Digital Corporation,0.3953
XEL,2026-01-16,-0.06049833332100929,0.09108157993098143,0.20230037582979743,Xcel Energy Inc.,0.2395
ZS,2026-01-16,-0.2849217928394444,-0.2588667400151172,0.12626974862231966,"""Zscaler, Inc.""",0.1868
