date,symbol,close
2022-05-16,PCAR,47.95610046386719
2022-05-17,PCAR,49.00413131713867
2022-05-18,PCAR,46.7410774230957
2022-05-19,PCAR,46.88503646850586
2022-05-20,PCAR,45.95793533325195
2022-05-23,PCAR,47.13841247558594
2022-05-24,PCAR,47.35722732543945
2022-05-25,PCAR,48.094303131103516
2022-05-26,PCAR,48.45132827758789
2022-05-27,PCAR,49.332374572753906
2022-05-31,PCAR,50.00611114501953
2022-06-01,PCAR,50.98503494262695
2022-06-02,PCAR,51.22112274169922
2022-06-03,PCAR,50.8410758972168
2022-06-06,PCAR,51.04261779785156
2022-06-07,PCAR,51.238399505615234
2022-06-08,PCAR,51.4687385559082
2022-06-09,PCAR,50.69135665893555
2022-06-10,PCAR,49.00413131713867
2022-06-13,PCAR,47.78334426879883
2022-06-14,PCAR,48.46284866333008
2022-06-15,PCAR,49.436012268066406
2022-06-16,PCAR,46.971412658691406
2022-06-17,PCAR,47.17296600341797
2022-06-21,PCAR,48.664398193359375
2022-06-22,PCAR,48.123104095458984
2022-06-23,PCAR,46.9771728515625
2022-06-24,PCAR,48.491641998291016
2022-06-27,PCAR,48.26706314086914
2022-06-28,PCAR,47.915794372558594
2022-06-29,PCAR,47.86972427368164
2022-06-30,PCAR,47.41481399536133
2022-07-01,PCAR,47.73152160644531
2022-07-05,PCAR,47.13841247558594
2022-07-06,PCAR,46.827457427978516
2022-07-07,PCAR,47.35722732543945
2022-07-08,PCAR,46.683494567871094
2022-07-11,PCAR,45.65849304199219
2022-07-12,PCAR,46.25161361694336
2022-07-13,PCAR,45.6757698059082
2022-07-14,PCAR,45.537574768066406
2022-07-15,PCAR,46.096134185791016
2022-07-18,PCAR,46.245849609375
2022-07-19,PCAR,48.39374542236328
2022-07-20,PCAR,48.56650161743164
2022-07-21,PCAR,48.65863037109375
2022-07-22,PCAR,48.791080474853516
2022-07-25,PCAR,49.5396614074707
2022-07-26,PCAR,50.080970764160156
2022-07-27,PCAR,51.29023361206055
2022-07-28,PCAR,52.390079498291016
2022-07-29,PCAR,52.7010383605957
2022-08-01,PCAR,52.303707122802734
2022-08-02,PCAR,51.95820617675781
2022-08-03,PCAR,52.309478759765625
2022-08-04,PCAR,52.33250045776367
2022-08-05,PCAR,52.47646713256836
2022-08-08,PCAR,52.74134826660156
2022-08-09,PCAR,52.61466979980469
2022-08-10,PCAR,53.69725799560547
2022-08-11,PCAR,53.55329132080078
2022-08-12,PCAR,53.97364807128906
2022-08-15,PCAR,54.26732635498047
2022-08-16,PCAR,54.77590560913086
2022-08-17,PCAR,54.0477180480957
2022-08-18,PCAR,54.45226287841797
2022-08-19,PCAR,53.7645263671875
2022-08-22,PCAR,52.29082107543945
2022-08-23,PCAR,52.377506256103516
2022-08-24,PCAR,52.87451934814453
2022-08-25,PCAR,53.42932891845703
2022-08-26,PCAR,51.99607467651367
2022-08-29,PCAR,51.36614227294922
2022-08-30,PCAR,50.8864631652832
2022-08-31,PCAR,50.574371337890625
2022-09-01,PCAR,50.55126190185547
2022-09-02,PCAR,49.973331451416016
2022-09-06,PCAR,50.18138885498047
2022-09-07,PCAR,51.18698501586914
2022-09-08,PCAR,49.89242935180664
2022-09-09,PCAR,51.13496780395508
2022-09-12,PCAR,51.68400192260742
2022-09-13,PCAR,49.73638153076172
2022-09-14,PCAR,49.92710494995117
2022-09-15,PCAR,49.49365997314453
2022-09-16,PCAR,49.2047004699707
2022-09-19,PCAR,50.447235107421875
2022-09-20,PCAR,50.01378631591797
2022-09-21,PCAR,49.38962173461914
2022-09-22,PCAR,49.06599044799805
2022-09-23,PCAR,48.4360466003418
2022-09-26,PCAR,47.967933654785156
2022-09-27,PCAR,47.94480514526367
2022-09-28,PCAR,49.31449508666992
2022-09-29,PCAR,49.04866027832031
2022-09-30,PCAR,48.366695404052734
2022-10-03,PCAR,49.97911834716797
2022-10-04,PCAR,51.96139907836914
2022-10-05,PCAR,52.53932571411133
2022-10-06,PCAR,51.84003829956055
2022-10-07,PCAR,50.6726188659668
2022-10-10,PCAR,50.788211822509766
2022-10-11,PCAR,51.475948333740234
2022-10-12,PCAR,51.175418853759766
2022-10-13,PCAR,52.15211868286133
2022-10-14,PCAR,51.01360321044922
2022-10-17,PCAR,51.34880065917969
2022-10-18,PCAR,52.41796875
2022-10-19,PCAR,52.441078186035156
2022-10-20,PCAR,50.60905838012695
2022-10-21,PCAR,52.11166000366211
